Agent;X;Y;Z;time
ORCA random(Clone);5,911263;0,05000007;-6,538902;7,239994
ORCA random(Clone);5,858833;0,05000007;6,683109;7,439994
ORCA random(Clone);6,420502;0,05000007;5,957146;7,619994
ORCA random(Clone);6,041845;0,05000007;6,285035;7,819993
ORCA random(Clone);-5,997415;0,05000007;6,363277;7,939993
ORCA random(Clone);-6,122951;0,05000007;-6,184108;8,440003
ORCA random(Clone);-5,860538;0,05000007;6,655098;8,620008
ORCA random(Clone);-6,174457;0,05000007;6,15833;8,800012
ORCA random(Clone);6,21848;0,05000007;-6,109434;8,880013
ORCA random(Clone);5,829216;0,05000007;6,814824;8,920014
ORCA random(Clone);-6,48087;0,05000007;-5,939942;9,020017
ORCA random(Clone);6,287433;0,05000007;6,057304;9,16002
ORCA random(Clone);-5,878691;0,05000007;-6,626413;9,220021
ORCA random(Clone);5,939904;0,05000007;6,484245;9,280023
ORCA random(Clone);-6,171309;0,05000007;-6,132648;9,300023
ORCA random(Clone);6,153294;0,05000007;-6,178982;9,580029
ORCA random(Clone);-5,820313;0,05000007;-6,968013;9,680032
ORCA random(Clone);-6,162251;0,05000007;-6,173109;9,880036
ORCA random(Clone);5,841667;0,05000007;6,691049;10,04004
ORCA random(Clone);6,412891;0,05000007;-5,977153;10,12004
ORCA random(Clone);6,354998;0,05000007;6,011218;10,20004
ORCA random(Clone);5,800094;0,05000007;-7,002012;10,24004
ORCA random(Clone);6,046725;0,05000007;-6,309243;10,34005
ORCA random(Clone);-6,097331;0,05000007;6,21017;10,42005
ORCA random(Clone);-6,014508;0,05000007;-6,330768;10,78006
ORCA random(Clone);6,999461;0,05000007;-5,820107;10,82006
ORCA random(Clone);5,92352;0,05000007;-6,472607;10,86006
ORCA random(Clone);-5,865453;0,05000007;-7,37029;10,92006
ORCA random(Clone);6,196176;0,05000007;6,118403;11,16007
ORCA random(Clone);5,916012;0,05000007;-6,536185;11,42007
ORCA random(Clone);-6,219941;0,05000007;6,111701;11,52007
ORCA random(Clone);-5,822639;0,05000007;7,034937;11,84008
ORCA random(Clone);-5,907612;0,05000007;6,511182;12,14009
ORCA random(Clone);-6,104589;0,05000007;-6,206886;12,14009
ORCA random(Clone);6,046977;0,05000007;-6,303617;12,28009
ORCA random(Clone);6,020701;0,05000007;6,329437;12,40009
ORCA random(Clone);-6,032735;0,05000007;6,317795;12,5401
ORCA random(Clone);-6,756526;0,05000007;5,84714;12,6401
ORCA random(Clone);-5,938073;0,05000007;-6,448316;12,6801
ORCA random(Clone);6,473109;0,05000007;5,94449;12,8001
ORCA random(Clone);5,800395;0,05000007;-7,008616;12,8401
ORCA random(Clone);-6,340179;0,05000007;-6,022976;12,98011
ORCA random(Clone);6,342386;0,05000007;6,017629;13,44012
ORCA random(Clone);-5,995031;0,05000007;6,378699;13,44012
ORCA random(Clone);-6,31907;0,05000007;6,021804;13,82013
ORCA random(Clone);-5,879078;0,05000007;-6,62369;14,14013
ORCA random(Clone);6,366638;0,05000007;-5,985045;14,42014
ORCA random(Clone);5,889461;0,05000007;-6,545362;14,62014
ORCA random(Clone);6,400997;0,05000007;5,971172;15,30016
ORCA random(Clone);-6,12599;0,05000007;6,209939;16,9002
Agent;X;Y;Z;time
ORCA random(Clone);5,911263;0,05000007;-6,538902;7,239994
ORCA random(Clone);5,858833;0,05000007;6,683109;7,439994
ORCA random(Clone);6,420502;0,05000007;5,957146;7,619994
ORCA random(Clone);6,041845;0,05000007;6,285035;7,819993
ORCA random(Clone);-5,997415;0,05000007;6,363277;7,939993
ORCA random(Clone);-6,122951;0,05000007;-6,184108;8,440003
ORCA random(Clone);-5,860538;0,05000007;6,655098;8,620008
ORCA random(Clone);-6,174457;0,05000007;6,15833;8,800012
ORCA random(Clone);6,21848;0,05000007;-6,109434;8,880013
ORCA random(Clone);5,829216;0,05000007;6,814824;8,920014
ORCA random(Clone);-6,48087;0,05000007;-5,939942;9,020017
ORCA random(Clone);6,287433;0,05000007;6,057304;9,16002
ORCA random(Clone);-5,878691;0,05000007;-6,626413;9,220021
ORCA random(Clone);5,939904;0,05000007;6,484245;9,280023
ORCA random(Clone);-6,171309;0,05000007;-6,132648;9,300023
ORCA random(Clone);6,153294;0,05000007;-6,178982;9,580029
ORCA random(Clone);-5,820313;0,05000007;-6,968013;9,680032
ORCA ran
